respondent_id,major,race,gender,satisfaction_academics,satisfaction_social_life,satisfaction_support_services,satisfaction_diversity_inclusion,open_response
R084,Nursing,White,Female,5,2,4,4,"Peer tutoring is helpful, but hard to schedule."
R085,Engineering,Asian,Female,1,2,1,5,I'd like more transparency from student leadership.
R086,Psychology,Asian,Prefer not to say,1,4,5,1,"My professors have been great, but I struggle to make friends."
R087,Nursing,Other,Prefer not to say,1,5,4,2,Too few professors offer extensions without judgment.
R088,Education,Black,Male,1,1,5,2,Faculty diversity needs major improvement.
R089,Sociology,Black,Female,4,1,3,1,It's difficult to participate in events due to my work schedule.
R090,Sociology,Asian,Female,3,3,4,2,Student organizations need more outreach support.
R091,Sociology,Asian,Male,3,2,3,1,More peer mentorship programs would make a difference.
R092,Business,Black,Prefer not to say,1,5,1,5,We need better transit options to/from campus.
R093,English,Black,Non-binary,3,4,1,5,Sometimes I feel lost navigating university life.
R094,Engineering,Other,Female,3,2,4,1,Connecting first-year students with upperclassmen mentors would be helpful.
R095,Sociology,Asian,Non-binary,1,4,4,5,Black student voices feel silenced.
R096,Engineering,Other,Non-binary,3,3,5,5,A mentorship program based on shared identities would help.
R097,Nursing,Latino,Female,5,3,5,5,I find it hard to navigate campus support services.
R098,Education,White,Male,2,1,3,3,Faculty should use students' pronouns consistently.
R099,Nursing,Other,Male,2,5,4,4,Sometimes I feel tokenized.
R100,English,Other,Prefer not to say,1,4,1,2,My identity feels ignored in classroom discussions.
